id,event_key,tx_hash,wallet_address,token_mint,timestamp,date_str,side,amount_tokens,amount_sol,amount_usd,price_usd,is_airdrop,is_first_buyer,entry_delay_seconds,program_id,source_type,source_name,source_ref,fetched_at,raw_json
11,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:T6HQKWhLdKa4GXrLGKtrrsdx6jaqGNWG3MhkRHsomWP,,T6HQKWhLdKa4GXrLGKtrrsdx6jaqGNWG3MhkRHsomWP,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,11,2026-08-20 04:32:12,"""{}"""
12,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:2e4oomdxZ8Sc1RExddtWtE1hKcyGjLGdiv6rirGLcDcM,,2e4oomdxZ8Sc1RExddtWtE1hKcyGjLGdiv6rirGLcDcM,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,12,2026-08-20 04:32:12,"""{}"""
13,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:C2jmyW6yqH7oYQjUbSytKcLDUNeXQ7dXzQiWUYx1kKfd,,C2jmyW6yqH7oYQjUbSytKcLDUNeXQ7dXzQiWUYx1kKfd,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,477380952380.47504,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,13,2026-08-20 04:32:12,"""{}"""
14,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:4HpSW5bcT9fT9jPtk9KgFfJLZZZ3jyAZ2x1jBS9R9HAX,,4HpSW5bcT9fT9jPtk9KgFfJLZZZ3jyAZ2x1jBS9R9HAX,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,477380952380.47504,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,14,2026-08-20 04:32:13,"""{}"""
15,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:3k1vPmepfusppKwaGMR96NmXepP9AmSnHLSEzHPLeeGa,,3k1vPmepfusppKwaGMR96NmXepP9AmSnHLSEzHPLeeGa,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,15,2026-08-20 04:32:13,"""{}"""
16,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:VkwYd5xkEpsfaBNbnDde7uagnALk868LHRAHy5d8Dgx,,VkwYd5xkEpsfaBNbnDde7uagnALk868LHRAHy5d8Dgx,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,16,2026-08-20 04:32:13,"""{}"""
17,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:8w7eprCZX7zPAJTgnxUA8yf95HrAgrAAg3DUuc4HVSsi,,8w7eprCZX7zPAJTgnxUA8yf95HrAgrAAg3DUuc4HVSsi,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,17,2026-08-20 04:32:13,"""{}"""
18,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:8RXBypLsDaU2hoGvawg7dDr9U5WXKoUZFpEoNifVJsLw,,8RXBypLsDaU2hoGvawg7dDr9U5WXKoUZFpEoNifVJsLw,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,18,2026-08-20 04:32:13,"""{}"""
19,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9nBfG3bWMpwc8hq4MCJQmHkr97KU78U5zn1eYrueXCt7,,9nBfG3bWMpwc8hq4MCJQmHkr97KU78U5zn1eYrueXCt7,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,19,2026-08-20 04:32:14,"""{}"""
20,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:6NW3sAEpnZFc3QpPmKSe4hjA1ww2bTAVq6PQnZufXCJX,,6NW3sAEpnZFc3QpPmKSe4hjA1ww2bTAVq6PQnZufXCJX,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,20,2026-08-20 04:32:14,"""{}"""
21,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:6K7jLkhBRYMzAqYKqBrS3AUDQP6MCGBmQw8qgSpasEuh,,6K7jLkhBRYMzAqYKqBrS3AUDQP6MCGBmQw8qgSpasEuh,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,21,2026-08-20 04:32:14,"""{}"""
22,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:BZCR97PLZbFWrzgZVFvFE9NWcop3TSpCKatZPSNmsxHo,,BZCR97PLZbFWrzgZVFvFE9NWcop3TSpCKatZPSNmsxHo,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,22,2026-08-20 04:32:14,"""{}"""
23,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:5trZ3Eaptn6uSFkXQcuRsG1uf2mL8s1EosHKcZh65qhM,,5trZ3Eaptn6uSFkXQcuRsG1uf2mL8s1EosHKcZh65qhM,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,23,2026-08-20 04:32:14,"""{}"""
24,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:Gyb81MHV9EZxnWCoNQJS285qEU9ewM9bnaLFW4PqVBGg,,Gyb81MHV9EZxnWCoNQJS285qEU9ewM9bnaLFW4PqVBGg,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671152760,,BUY,954761904761.9524,0.01470256,0.0,0.0,0,1,621148,,ONCHAIN,HELIUS_RPC,24,2026-08-20 04:32:15,"""{}"""
25,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671570646,,BUY,10000000000.0,0.03152684,0.0,0.0,0,1,1039034,,ONCHAIN,HELIUS_RPC,25,2026-08-20 04:32:15,"""{}"""
27,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:2F6a9Ac4rchVf7t34Liw68u6YPBfWKhR3R7d7ybEkVkR,,2F6a9Ac4rchVf7t34Liw68u6YPBfWKhR3R7d7ybEkVkR,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671677721,,BUY,200000000000.0,0.00204428,0.0,0.0,0,1,1146109,,ONCHAIN,HELIUS_RPC,27,2026-08-20 04:32:15,"""{}"""
28,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:7mkDkvGrDMEsbKarEiZE7CzhG4gpzXcRvs4AxMDvF8Lm,,7mkDkvGrDMEsbKarEiZE7CzhG4gpzXcRvs4AxMDvF8Lm,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671858042,,BUY,100000000000.0,0.00204428,0.0,0.0,0,1,1326430,,ONCHAIN,HELIUS_RPC,28,2026-08-20 04:32:15,"""{}"""
29,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:3pMvTLUA9NzZQd4gi725p89mvND1wRNQM3C8XEv1hTdA,,3pMvTLUA9NzZQd4gi725p89mvND1wRNQM3C8XEv1hTdA,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671862192,,BUY,1000000000.0,0.00204428,0.0,0.0,0,1,1330580,,ONCHAIN,HELIUS_RPC,29,2026-08-20 04:32:16,"""{}"""
30,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:GHxTAgTNHZeuTsA4oJj5LU8QMyCtst47wYooG2KJAEA1,,GHxTAgTNHZeuTsA4oJj5LU8QMyCtst47wYooG2KJAEA1,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883264,,BUY,1418.07954,0.00204428,0.0,0.0,0,1,1351652,,ONCHAIN,HELIUS_RPC,30,2026-08-20 04:32:16,"""{}"""
31,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:ELrCHTBcMaLhFr5N72UzKgYftPRkztRnFUcUByxemjkx,,ELrCHTBcMaLhFr5N72UzKgYftPRkztRnFUcUByxemjkx,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883306,,BUY,1570.87176,0.20204928,0.0,0.0,0,1,1351694,,ONCHAIN,HELIUS_RPC,31,2026-08-20 04:32:16,"""{}"""
32,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:2y2qb8g7x8iNY8WB3avEqiRBZZeekftNMEHHcsBqp8zg,,2y2qb8g7x8iNY8WB3avEqiRBZZeekftNMEHHcsBqp8zg,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883354,,BUY,3954.69337,0.00204428,0.0,0.0,0,1,1351742,,ONCHAIN,HELIUS_RPC,32,2026-08-20 04:32:16,"""{}"""
33,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:BG7A2dQ3zaCnvZuY2RHhY25k7QyJ6Lq3ZDMtXhn4irRV,,BG7A2dQ3zaCnvZuY2RHhY25k7QyJ6Lq3ZDMtXhn4irRV,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883394,,BUY,6033.3627,0.10204928,0.0,0.0,0,1,1351782,,ONCHAIN,HELIUS_RPC,33,2026-08-20 04:32:16,"""{}"""
34,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:DEQprqXR9TSTbsqE1s1ksUhT1UBzPF88qwmQfnLVazoU,,DEQprqXR9TSTbsqE1s1ksUhT1UBzPF88qwmQfnLVazoU,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883400,,BUY,11363.43165,0.50204928,0.0,0.0,0,1,1351788,,ONCHAIN,HELIUS_RPC,34,2026-08-20 04:32:17,"""{}"""
35,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:Dj9j3ff6Jx5khVuxHp7yQMAsHZXQyz1rsHmPAAZZbYyK,,Dj9j3ff6Jx5khVuxHp7yQMAsHZXQyz1rsHmPAAZZbYyK,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883639,,BUY,3395.06843,0.30204928,0.0,0.0,0,1,1352027,,ONCHAIN,HELIUS_RPC,35,2026-08-20 04:32:17,"""{}"""
36,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9nQz1bRNkTLYFqm6o3RGrnQJsthrNfTETYyhx74NuFGn,,9nQz1bRNkTLYFqm6o3RGrnQJsthrNfTETYyhx74NuFGn,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671883992,,BUY,3974.65132,0.405306629,0.0,0.0,0,1,1352380,,ONCHAIN,HELIUS_RPC,36,2026-08-20 04:32:17,"""{}"""
37,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:6z4RLArdUQuzUoXiDP2LmUjGeNVV9FKLZVhN7Ma2FtMm,,6z4RLArdUQuzUoXiDP2LmUjGeNVV9FKLZVhN7Ma2FtMm,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671884130,,BUY,5516.66183,1.00204928,0.0,0.0,0,1,1352518,,ONCHAIN,HELIUS_RPC,37,2026-08-20 04:32:17,"""{}"""
38,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:4MZCmJ3XzEhuMh1VP68LmYdtBsgcF2qsdR76CH6EpCnn,,4MZCmJ3XzEhuMh1VP68LmYdtBsgcF2qsdR76CH6EpCnn,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671884408,,BUY,261.61764,0.05204928,0.0,0.0,0,1,1352796,,ONCHAIN,HELIUS_RPC,38,2026-08-20 04:32:17,"""{}"""
39,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:ToNY7KKnVDYiVpMCCCwiyo19iHBEUha7BZ1zkAmud7a,,ToNY7KKnVDYiVpMCCCwiyo19iHBEUha7BZ1zkAmud7a,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671884614,,BUY,2095.46426,0.25204928,0.0,0.0,0,1,1353002,,ONCHAIN,HELIUS_RPC,39,2026-08-20 04:32:18,"""{}"""
40,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:Hr61YhAQM4fG4x1vfAa3oUWaS2LttcA3K5QZmHqPDYvQ,,Hr61YhAQM4fG4x1vfAa3oUWaS2LttcA3K5QZmHqPDYvQ,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671884750,,BUY,8430.68848,1.00204928,0.0,0.0,0,1,1353138,,ONCHAIN,HELIUS_RPC,40,2026-08-20 04:32:18,"""{}"""
41,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:CUyHJh9gUzTgaXEvNvXXoE21WSJPky15pAdGFWNZWDDs,,CUyHJh9gUzTgaXEvNvXXoE21WSJPky15pAdGFWNZWDDs,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885023,,BUY,352.14753,0.05204928,0.0,0.0,0,1,1353411,,ONCHAIN,HELIUS_RPC,41,2026-08-20 04:32:18,"""{}"""
42,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:7Qq5UaDW3MQUK9pDwiu38eQEhZmmW2fZbsZHG27trkN5,,7Qq5UaDW3MQUK9pDwiu38eQEhZmmW2fZbsZHG27trkN5,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885218,,BUY,68.29322,0.01204928,0.0,0.0,0,1,1353606,,ONCHAIN,HELIUS_RPC,42,2026-08-20 04:32:18,"""{}"""
43,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:6UhkhsQKDHZFeE61zqcrzHaczRkndoeZJCf1dREei49A,,6UhkhsQKDHZFeE61zqcrzHaczRkndoeZJCf1dREei49A,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885324,,BUY,131.38893,0.01204928,0.0,0.0,0,1,1353712,,ONCHAIN,HELIUS_RPC,43,2026-08-20 04:32:19,"""{}"""
44,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9xaQ3jPuaRC5KaNkov7Lw6Bq1gKjRp4wD67v6pK1MdK1,,9xaQ3jPuaRC5KaNkov7Lw6Bq1gKjRp4wD67v6pK1MdK1,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885440,,BUY,989635225.07388,0.00204428,0.0,0.0,0,1,1353828,,ONCHAIN,HELIUS_RPC,44,2026-08-20 04:32:19,"""{}"""
45,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:C6s13kNZcf7Xrzet5e8BLHyQZvwaEuwAzzBENsp1mDiP,,C6s13kNZcf7Xrzet5e8BLHyQZvwaEuwAzzBENsp1mDiP,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885460,,BUY,11298303844.69623,1.00204928,0.0,0.0,0,1,1353848,,ONCHAIN,HELIUS_RPC,45,2026-08-20 04:32:20,"""{}"""
46,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9SFygifgPTwYZUspJz8HK8EZrxP4VXm6V827HDmPqZUd,,9SFygifgPTwYZUspJz8HK8EZrxP4VXm6V827HDmPqZUd,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885481,,BUY,11202776025.14925,1.00204928,0.0,0.0,0,1,1353869,,ONCHAIN,HELIUS_RPC,46,2026-08-20 04:32:20,"""{}"""
47,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,,3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885526,,BUY,202991793947.63412,20.00204928,0.0,0.0,0,1,1353914,,ONCHAIN,HELIUS_RPC,47,2026-08-20 04:32:20,"""{}"""
48,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:AUT3mjFn2hSQuNhG41kGN8vhqfBaA7zWDYfdng5cpkM5,,AUT3mjFn2hSQuNhG41kGN8vhqfBaA7zWDYfdng5cpkM5,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885535,,BUY,3451.77448,0.17062278,0.0,0.0,0,1,1353923,,ONCHAIN,HELIUS_RPC,48,2026-08-20 04:32:20,"""{}"""
49,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:AowhKcB1THvDnrAn1wz62eARRrBn4FH9DnjhQwKQhYU5,,AowhKcB1THvDnrAn1wz62eARRrBn4FH9DnjhQwKQhYU5,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885543,,BUY,848.77061,0.05204928,0.0,0.0,0,1,1353931,,ONCHAIN,HELIUS_RPC,49,2026-08-20 04:32:20,"""{}"""
50,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:CHucsL3fso5hc7Kbc5VDyvwpqtrNCA96M12L1kqYrpTt,,CHucsL3fso5hc7Kbc5VDyvwpqtrNCA96M12L1kqYrpTt,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885559,,BUY,6766057337.34921,0.75204928,0.0,0.0,0,1,1353947,,ONCHAIN,HELIUS_RPC,50,2026-08-20 04:32:21,"""{}"""
51,HELIUS_FIRST_BUYERS:DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263:None:9j53Z6bejUaAxJCEC64BbxozLPuvsuAFsr6iqWKKDvaw,,9j53Z6bejUaAxJCEC64BbxozLPuvsuAFsr6iqWKKDvaw,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,1671885601,,BUY,25031601186.71043,0.00204428,0.0,0.0,0,1,1353989,,ONCHAIN,HELIUS_RPC,51,2026-08-20 04:32:21,"""{}"""
